Period,Application_ID,Cost,Source,Source_Item
2019-06,DATAROBOT,1570.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-04,SISLAB,0.0,Azure,Bandwidth - Data Transfer In - Zone 1
2019-06,GEORE1,0.0,Azure,Standard Page Blob v2 - GRS - Disk Write Operations - EU West
2019-06,PYTHIA,0.0,Azure,Tiered Block Blob - Hot LRS - Write Operations - IN Central
2019-06,SISLAB,8.0,Azure,Standard HDD Managed Disks - S4 - Disks - EU West
2019-01,GEORE1,40.0,Azure,Azure Databricks - Premium - Data Analytics - DBU
2019-08,SISLAB,47.0,Azure,API Management - Developer - Unit
2017-11,DSW,8933.0,Utilization,IBM
2017-09,TMA,2933.0,Utilization,Parveez Fathima
2017-03,TMA,3958.0,Utilization,Marc Giombetti
2019-01,INSIGHTSRE,3983.0,Utilization,IBM Zurich
2019-03,BCHART,32.0,Swisscom,Application Cloud Memory units
2019-08,PYTHIA,265.0,Swisscom,Enterprise Service Cloud Platinum Standard Memory units
2019-05,DSW,62.0,Swisscom,Enterprise Service Cloud Platinum Advanced Memory units
2019-01,DATAROBOT,28.0,Swisscom,Enterprise Service Cloud Platinum Basic UltraFast Storage units
2019-04,INSIGHTSRE,17053.0,Utilization,IBM Slovakia
2018-10,DOCSEARCH,21255.0,Utilization,CTCO
2017-05,DNA,0.0,Utilization,Ladislas Jacobe de Naurois
2019-03,INSIGHTSRE,1466.0,Utilization,Subhradeep Das
2018-05,DOCSEARCH,1022.0,Utilization,Milan Kuchta
2019-05,PYTHIA,1671.0,Utilization,Nuno Mesquita
2019-03,SISLAB,170.0,Group Technology Management,Developer Workplace: JIRA/SCMIMT
2019-01,SISLAB,170.0,Group Technology Management,Developer Workplace: GIT
2019-04,OCR,550.0,Group Technology Management,PowerCenter Applications
2019-03,DSC,4593.0,Group Technology Management,Swisscom Oracle DBaaS - CHF spent excl. VAT
2019-04,SISLAB,4557.0,Group Technology Management,Server Storage HNAS - on premise
2019-02,GEORE1,0.0,Azure,Tiered Block Blob - All Other Operations - EU West
2019-05,GEORE1,0.0,Azure,Azure App Service Free Plan - F1
2019-03,SISLAB,12.0,Azure,Backup - Azure VM and on-premises Server - Protected Instances
2019-06,GEORE1,2.0,Azure,Virtual Machines Dv3/DSv3 Series - D2 v3/D2s v3 - EU West
2019-04,GEORE1,37.0,Azure,Virtual Machines Dv3/DSv3 Series - D4 v3/D4s v3  - EU West
2019-07,SISLAB,5.0,Azure,SQL Database Single Basic - B - DTUs
2019-03,GEORE1,1.0,Azure,Standard HDD Managed Disks - S4 - Disks - EU West
2019-08,PYTHIA,5.0,Azure,Container Registry - Basic - Registry Units
2019-06,GEORE1,0.0,Azure,Tiered Block Blob - Hot - Read Operations - EU West
2019-01,SISLAB,7.0,Swisscom,Enterprise Service Cloud Platinum Standard Fast Storage units
2019-08,GEORE1,0.0,Azure,Bandwidth - Data Transfer Out - Zone 1
2019-09,SISLAB,191.0,Azure,Virtual Machines NV Series - NV6 - EU West
2019-01,GEORE1,6.0,Azure,Tiered Block Blob - All Other Operations - EU West
2019-02,GEORE1,263.0,Azure,Virtual Machines Dv3/DSv3 Series - D4 v3/D4s v3  - EU West
2019-01,GEORE1,51.0,Azure,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2  - EU West
2019-03,SISLAB,40.0,Azure,API Management - Developer - Unit
2019-07,GEORE1,0.0,Azure,Standard Page Blob v2 - GRS - Disk Write Operations - EU West
2019-02,GEORE1,0.0,Azure,Tables - Scan Operations
2019-02,GEORE1,0.0,Azure,Standard Page Blob v2 - GRS - Disk Write Operations - EU West
2018-05,DOCSEARCH,11915.0,Utilization,CTCO
2019-04,TMA,1635.0,Utilization,Aneta Richterova
2019-03,DSW,0.0,Utilization,Vinay Pokuri
2019-04,DSW,0.0,Utilization,Vinay Pokuri
2019-08,SISLAB,15.0,Swisscom,Enterprise Service Cloud Platinum Standard Memory units
